timestamp,open,high,low,close,volume
01/12/2022 7:00,140.22,140.937,140.128,140.867,453
01/12/2022 8:00,140.805,141.192,140.6,140.65,1408
01/12/2022 9:00,141.069,141.674,140.158,141.122,448532
01/12/2022 10:00,141.258,141.494,139.034,139.63,383921
01/12/2022 11:00,139.663,139.87,139.251,139.763,414684
01/12/2022 12:00,139.785,140.522,139.336,140.433,198839
01/12/2022 13:00,140.475,140.503,139.756,140.362,248881
01/12/2022 14:00,140.39,141.523,140.128,141.32,370969
01/12/2022 15:00,141.343,141.561,140.638,140.82,585933
01/12/2022 16:00,140.843,140.918,140.091,140.801,742415
01/12/2022 17:00,140.626,140.673,140.534,140.603,200
01/12/2022 18:00,140.635,140.72,140.543,140.65,1200
02/12/2022 8:00,140.786,140.814,139.484,139.706,1987
02/12/2022 9:00,139.53,140.871,139.439,140.069,179621
02/12/2022 10:00,140.111,140.493,139.579,140.159,255467
02/12/2022 11:00,140.187,140.649,139.968,140.348,236028
02/12/2022 12:00,140.399,140.484,139.741,139.816,175167
02/12/2022 13:00,139.833,139.898,139.505,139.612,163747
02/12/2022 14:00,139.653,140.371,139.402,140.169,210585
02/12/2022 15:00,140.229,140.578,139.93,140.338,540885
02/12/2022 16:00,140.38,140.408,140.224,140.274,433352
02/12/2022 19:00,140.22,140.248,140.128,140.178,111
05/12/2022 8:00,139.842,139.87,139.298,139.347,630
05/12/2022 9:00,139.389,140.654,139.279,139.885,224861
05/12/2022 10:00,139.946,140.418,139.609,140.126,171961
05/12/2022 11:00,140.182,140.42,139.307,139.394,215075
05/12/2022 12:00,139.398,139.445,138.854,139.036,155987
05/12/2022 13:00,139.068,139.426,138.878,138.941,123097
05/12/2022 14:00,138.983,139.133,138.524,138.819,143496
05/12/2022 15:00,138.86,139.322,138.76,139.187,426119
05/12/2022 16:00,139.19,139.218,139.1,139.149,587568
05/12/2022 18:00,139.19,139.218,139.1,139.149,250
06/12/2022 8:00,138.908,138.936,138.461,138.51,465
06/12/2022 9:00,138.586,139.473,138.496,139.281,151055
06/12/2022 10:00,139.304,139.587,138.43,138.856,287472
06/12/2022 11:00,138.891,139.407,138.675,139.206,182525
06/12/2022 12:00,139.247,139.541,138.996,139.09,154195
06/12/2022 13:00,139.105,139.152,138.609,139.003,175310
06/12/2022 14:00,139.049,139.124,138.468,138.53,152019
06/12/2022 15:00,138.577,139.436,138.458,139.234,386454
06/12/2022 16:00,139.275,139.587,139.185,139.461,446277
06/12/2022 17:00,139.172,139.209,139.081,139.14,300
06/12/2022 19:00,139.285,139.313,139.194,139.243,525
07/12/2022 7:00,138.803,138.831,138.571,138.62,205
07/12/2022 8:00,138.841,139.313,138.477,138.998,890
07/12/2022 9:00,138.832,139.473,138.043,138.281,157936
07/12/2022 10:00,138.275,139.275,138.156,138.998,239916
07/12/2022 11:00,139.039,139.181,138.46,139.068,251390
07/12/2022 12:00,139.143,139.728,138.939,139.282,480150
07/12/2022 13:00,139.314,139.875,139.05,139.187,343206
07/12/2022 14:00,139.228,139.464,138.902,139.21,238046
07/12/2022 15:00,139.252,139.436,138.817,139.017,447667
07/12/2022 16:00,139.058,139.086,138.836,139.017,978451
